"","Date","Gasoline_Prices"
"1012",2010-01-04,2.718
"1013",2010-01-11,2.804
"1014",2010-01-18,2.793
"1015",2010-01-25,2.76
"1016",2010-02-01,2.717
"1017",2010-02-08,2.707
"1018",2010-02-15,2.664
"1019",2010-02-22,2.709
"1020",2010-03-01,2.756
"1021",2010-03-08,2.804
"1022",2010-03-15,2.841
"1023",2010-03-22,2.87
"1024",2010-03-29,2.851
"1025",2010-04-05,2.877
"1026",2010-04-12,2.909
"1027",2010-04-19,2.911
"1028",2010-04-26,2.901
"1029",2010-05-03,2.95
"1030",2010-05-10,2.958
"1031",2010-05-17,2.918
"1032",2010-05-24,2.842
"1033",2010-05-31,2.784
"1034",2010-06-07,2.78
"1035",2010-06-14,2.756
"1036",2010-06-21,2.795
"1037",2010-06-28,2.809
"1038",2010-07-05,2.779
"1039",2010-07-12,2.771
"1040",2010-07-19,2.775
"1041",2010-07-26,2.801
"1042",2010-08-02,2.788
"1043",2010-08-09,2.835
"1044",2010-08-16,2.798
"1045",2010-08-23,2.759
"1046",2010-08-30,2.736
"1047",2010-09-06,2.735
"1048",2010-09-13,2.772
"1049",2010-09-20,2.775
"1050",2010-09-27,2.747
"1051",2010-10-04,2.784
"1052",2010-10-11,2.871
"1053",2010-10-18,2.887
"1054",2010-10-25,2.87
"1055",2010-11-01,2.861
"1056",2010-11-08,2.917
"1057",2010-11-15,2.944
"1058",2010-11-22,2.931
"1059",2010-11-29,2.912
"1060",2010-12-06,3.013
"1061",2010-12-13,3.035
"1062",2010-12-20,3.037
"1063",2010-12-27,3.106
"1064",2011-01-03,3.124
"1065",2011-01-10,3.142
"1066",2011-01-17,3.158
"1067",2011-01-24,3.163
"1068",2011-01-31,3.155
"1069",2011-02-07,3.185
"1070",2011-02-14,3.193
"1071",2011-02-21,3.243
"1072",2011-02-28,3.435
"1073",2011-03-07,3.572
"1074",2011-03-14,3.621
"1075",2011-03-21,3.617
"1076",2011-03-28,3.65
"1077",2011-04-04,3.737
"1078",2011-04-11,3.843
"1079",2011-04-18,3.896
"1080",2011-04-25,3.932
"1081",2011-05-02,4.014
"1082",2011-05-09,4.018
"1083",2011-05-16,4.014
"1084",2011-05-23,3.904
"1085",2011-05-30,3.848
